"measurement" "Pmax" "sample"
37 3.35396230481617 "C"
38 3.65978289041809 "C"
39 2.39690669627043 "C"
40 2.9301073417076 "C"
41 3.95334746395751 "C"
42 3.94631494157794 "C"
43 2.43773172406644 "C"
44 4.34585406032876 "C"
45 5.05790084449246 "C"
46 5.88362290073861 "C"
47 4.92204063649133 "C"
48 4.34685508451255 "C"
49 1.28990418373463 "C"
50 3.41418294472443 "C"
51 3.8648994889867 "C"
52 4.75981056582223 "C"
53 3.58892932416662 "C"
54 3.78724249424393 "C"
55 5.42503228789713 "C"
56 4.72974464549704 "C"
57 4.74063227213771 "C"
58 4.5696231020274 "C"
59 2.65281803072816 "C"
60 5.61943342865573 "C"
61 3.52701210881529 "C"
62 5.27110925975656 "C"
63 3.20085924671297 "C"
64 4.35492050544457 "C"
65 5.19005756579319 "C"
66 4.0898505739523 "C"
67 4.27134150499647 "C"
68 2.9984972237018 "C"
69 2.84555453415744 "C"
70 5.4974717652278 "C"
71 4.76260242155225 "C"
72 1.23022764933906 "C"
73 3.44190290023817 "C"
74 3.18367382906063 "C"
75 4.85091277257925 "C"
76 4.17524666173627 "C"
77 4.34340286012783 "C"
78 4.39754960293756 "C"
79 5.35619795328654 "C"
80 4.19544636296291 "C"
81 4.32239982863066 "C"
82 1.55228836041325 "C"
83 3.23400002660193 "C"
84 4.16911307745388 "C"
85 3.66317418037027 "C"
86 4.00501371063766 "C"
87 5.09524017360824 "C"
88 2.78604516951682 "C"
89 2.32093362697213 "C"
90 4.5662428332528 "C"
91 2.99263989760612 "C"
92 4.31781843270236 "C"
93 4.12746819206847 "C"
94 4.332114250537 "C"
95 1.80001466949329 "C"
96 6.24604832431967 "C"
97 3.58823180427873 "C"
98 3.93641676490141 "C"
99 4.73981823784057 "C"
100 5.11537059326633 "C"
101 5.42177343189437 "C"
102 3.80343935065526 "C"
103 4.78253553576433 "C"
